"Neighbourhood","Neighbourhood Id","Combined Indicators","Pop 15 - 19 years","Pop 20 - 24 years","Pop 25 - 29 years","Youth 15-24","After-Tax Household Income","Vehicle Thefts","Thefts","Robberies","   South Asian","Total Population"
"Woodbine-Lumsden",60.0,"N/A",300.0,375.0,470.0,675.0,56681.0,3.0,5.0,3.0,345.0,7865.0
"Taylor-Massey",61.0,"N/A",730.0,960.0,1275.0,1690.0,37875.0,8.0,5.0,16.0,5975.0,15683.0
"East End-Danforth",62.0,"N/A",1065.0,1145.0,1145.0,2210.0,56179.0,21.0,12.0,31.0,1700.0,21381.0
"The Beaches",63.0,"N/A",1080.0,995.0,1085.0,2075.0,70957.0,8.0,4.0,13.0,645.0,21567.0
"Woodbine Corridor",64.0,"N/A",535.0,500.0,720.0,1035.0,63343.0,9.0,6.0,6.0,610.0,12541.0
"Greenwood-Coxwell",65.0,"N/A",585.0,720.0,1050.0,1305.0,52770.0,14.0,7.0,10.0,1070.0,14417.0
"Danforth",66.0,"N/A",405.0,515.0,615.0,920.0,62482.0,5.0,3.0,14.0,705.0,9666.0
"Playter Estates-Danforth",67.0,"N/A",345.0,390.0,645.0,735.0,55536.0,6.0,3.0,10.0,240.0,7804.0
"North Riverdale",68.0,"N/A",565.0,605.0,680.0,1170.0,68164.0,6.0,4.0,23.0,405.0,11916.0
"Blake-Jones",69.0,"N/A",450.0,435.0,495.0,885.0,51381.0,5.0,0.0,13.0,445.0,7727.0
"South Riverdale",70.0,"N/A",1010.0,1435.0,2240.0,2445.0,56192.0,28.0,20.0,31.0,1170.0,27876.0
"Cabbagetown-South St.James Town",71.0,"N/A",295.0,740.0,1050.0,1035.0,50873.0,9.0,6.0,16.0,525.0,11669.0
"Regent Park",72.0,"N/A",740.0,1035.0,1205.0,1775.0,30794.0,3.0,2.0,14.0,2770.0,10803.0
"Moss Park",73.0,"N/A",520.0,1540.0,2790.0,2060.0,37295.0,16.0,12.0,112.0,1315.0,20506.0
"North St.James Town",74.0,"N/A",740.0,1525.0,2280.0,2265.0,31304.0,16.0,9.0,19.0,3770.0,18615.0
"Church-Yonge Corridor",75.0,"N/A",1040.0,4020.0,5540.0,5060.0,41813.0,23.0,40.0,108.0,2510.0,31340.0
"Bay Street Corridor",76.0,"N/A",1385.0,5475.0,4545.0,6860.0,44614.0,25.0,41.0,100.0,2420.0,25797.0
"Waterfront Communities-The Island",77.0,"N/A",1140.0,6700.0,15755.0,7840.0,57670.0,40.0,56.0,63.0,6735.0,65913.0
"Kensington-Chinatown",78.0,"N/A",740.0,2610.0,2710.0,3350.0,37571.0,26.0,16.0,53.0,760.0,17945.0
"University",79.0,"N/A",330.0,1155.0,1135.0,1485.0,45538.0,13.0,5.0,21.0,395.0,7607.0
"Palmerston-Little Italy",80.0,"N/A",390.0,1075.0,2360.0,1465.0,52309.0,12.0,6.0,27.0,395.0,13826.0
"Trinity-Bellwoods",81.0,"N/A",470.0,1160.0,2325.0,1630.0,51502.0,25.0,2.0,20.0,280.0,16556.0
"Niagara",82.0,"N/A",385.0,2030.0,6865.0,2415.0,59929.0,22.0,18.0,16.0,2210.0,31180.0
"Dufferin Grove",83.0,"N/A",370.0,695.0,1525.0,1065.0,44145.0,8.0,3.0,15.0,665.0,11785.0
"Little Portugal",84.0,"N/A",415.0,1190.0,2720.0,1605.0,52519.0,13.0,3.0,8.0,445.0,15559.0
"South Parkdale",85.0,"N/A",725.0,1550.0,2965.0,2275.0,32539.0,22.0,9.0,33.0,1830.0,21849.0
"Roncesvalles",86.0,"N/A",585.0,720.0,1380.0,1305.0,46883.0,12.0,3.0,25.0,835.0,14974.0
"High Park-Swansea",87.0,"N/A",1010.0,1115.0,2035.0,2125.0,62128.0,11.0,5.0,20.0,800.0,23925.0
"High Park North",88.0,"N/A",785.0,1105.0,2325.0,1890.0,52827.0,8.0,1.0,20.0,950.0,22162.0
"Runnymede-Bloor West Village",89.0,"N/A",480.0,480.0,465.0,960.0,74729.0,9.0,1.0,11.0,245.0,10070.0
"Junction Area",90.0,"N/A",645.0,820.0,1195.0,1465.0,53804.0,22.0,3.0,13.0,525.0,14366.0
"Weston-Pellam Park",91.0,"N/A",630.0,785.0,850.0,1415.0,48206.0,17.0,7.0,11.0,410.0,11098.0
"Corso Italia-Davenport",92.0,"N/A",640.0,905.0,1340.0,1545.0,56345.0,7.0,2.0,25.0,325.0,14133.0
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",1405.0,2520.0,4395.0,3925.0,50741.0,27.0,12.0,35.0,2105.0,36625.0
"Wychwood",94.0,"N/A",515.0,805.0,1280.0,1320.0,50261.0,18.0,3.0,9.0,255.0,14349.0
"Annex",95.0,"N/A",1015.0,2735.0,4350.0,3750.0,49912.0,18.0,20.0,29.0,1125.0,30526.0
"Casa Loma",96.0,"N/A",445.0,635.0,970.0,1080.0,65574.0,5.0,6.0,1.0,360.0,10968.0
"Yonge-St.Clair",97.0,"N/A",310.0,610.0,1375.0,920.0,58838.0,7.0,8.0,5.0,560.0,12528.0
"Rosedale-Moore Park",98.0,"N/A",1025.0,1160.0,1330.0,2185.0,72915.0,14.0,6.0,13.0,605.0,20923.0
"Mount Pleasant East",99.0,"N/A",880.0,825.0,1040.0,1705.0,71154.0,8.0,2.0,3.0,680.0,16775.0
"Yonge-Eglinton",100.0,"N/A",500.0,725.0,1240.0,1225.0,63267.0,4.0,2.0,15.0,445.0,11817.0
"Forest Hill South",101.0,"N/A",640.0,715.0,805.0,1355.0,67446.0,9.0,5.0,1.0,245.0,10732.0
"Forest Hill North",102.0,"N/A",715.0,785.0,810.0,1500.0,53978.0,6.0,2.0,5.0,170.0,12806.0
"Lawrence Park South",103.0,"N/A",1100.0,995.0,780.0,2095.0,105043.0,20.0,1.0,2.0,315.0,15179.0
"Mount Pleasant West",104.0,"N/A",815.0,1705.0,3985.0,2520.0,48066.0,4.0,6.0,5.0,1895.0,29658.0
"Lawrence Park North",105.0,"N/A",940.0,730.0,545.0,1670.0,103660.0,13.0,3.0,4.0,355.0,14607.0
"Humewood-Cedarvale",106.0,"N/A",650.0,960.0,1440.0,1610.0,49252.0,17.0,5.0,7.0,320.0,14365.0
"Oakwood Village",107.0,"N/A",1030.0,1245.0,1470.0,2275.0,46349.0,24.0,1.0,18.0,625.0,21210.0
"Briar Hill-Belgravia",108.0,"N/A",745.0,910.0,1085.0,1655.0,48395.0,16.0,6.0,15.0,410.0,14257.0
"Caledonia-Fairbank",109.0,"N/A",545.0,675.0,730.0,1220.0,51225.0,13.0,1.0,18.0,230.0,9955.0
"Keelesdale-Eglinton West",110.0,"N/A",665.0,765.0,750.0,1430.0,45058.0,17.0,0.0,23.0,915.0,11058.0
"Rockcliffe-Smythe",111.0,"N/A",1300.0,1440.0,1450.0,2740.0,46154.0,36.0,3.0,46.0,990.0,22246.0
"Beechborough-Greenbrook",112.0,"N/A",415.0,440.0,465.0,855.0,37540.0,7.0,3.0,10.0,330.0,6577.0
"Weston",113.0,"N/A",990.0,1235.0,1335.0,2225.0,41356.0,39.0,2.0,35.0,765.0,17992.0
"Lambton Baby Point",114.0,"N/A",510.0,395.0,380.0,905.0,58158.0,1.0,1.0,2.0,270.0,7985.0
"Mount Dennis",115.0,"N/A",870.0,945.0,1015.0,1815.0,43790.0,14.0,0.0,24.0,510.0,13593.0
"Steeles",116.0,"N/A",1225.0,1460.0,1770.0,2685.0,55755.0,28.0,3.0,13.0,1560.0,24623.0
"L'Amoreaux",117.0,"N/A",2625.0,3105.0,3040.0,5730.0,49769.0,28.0,5.0,31.0,7240.0,43993.0
"Tam O'Shanter-Sullivan",118.0,"N/A",1495.0,1730.0,1850.0,3225.0,46095.0,23.0,7.0,12.0,4690.0,27446.0
